;0
241;103798.41082090286
242;103800.41082090286
243;103802.41082090286
244;103804.41082090286
245;103806.41082090286
246;103808.41082090286
247;103810.41082090286
248;103812.41082090286
249;103814.41082090286
250;103816.41082090286
251;103818.41082090286
252;103820.41082090286
253;103822.41082090286
254;103824.41082090286
255;103826.41082090286
256;103828.41082090286
257;103830.41082090286
258;103832.41082090286
259;103834.41082090286
260;103836.41082090286
261;103838.41082090286
262;103840.41082090286
263;103842.41082090286
264;103844.41082090286
265;103846.41082090286
266;103848.41082090286
267;103850.41082090286
268;103852.41082090286
269;103854.41082090286
270;103856.41082090286
271;103858.41082090286
272;103860.41082090286
273;103862.41082090286
274;103864.41082090286
275;103866.41082090286
276;103868.41082090286
277;103870.41082090286
278;103872.41082090286
279;103874.41082090286
280;103876.41082090286
281;103878.41082090286
282;103880.41082090286
283;103882.41082090286
284;103884.41082090286
285;103886.41082090286
286;103888.41082090286
287;103890.41082090286
288;103892.41082090286
289;103894.41082090286
290;103896.41082090286
291;103898.41082090286
292;103900.41082090286
293;103902.41082090286
294;103904.41082090286
295;103906.41082090286
296;103908.41082090286
297;103910.41082090286
298;103912.41082090286
299;103914.41082090286
300;103916.41082090286
301;103918.41082090286
302;103920.41082090286
303;103922.41082090286
304;103924.41082090286
305;103926.41082090286
306;103928.41082090286
307;103930.41082090286
308;103932.41082090286
309;103934.41082090286
310;103936.41082090286
311;103938.41082090286
312;103940.41082090286
313;103942.41082090286
314;103944.41082090286
315;103946.41082090286
316;103948.41082090286
317;103950.41082090286
318;103952.41082090286
319;103954.41082090286
320;103956.41082090286
321;103958.41082090286
322;103960.41082090286
323;103962.41082090286
324;103964.41082090286
325;103966.41082090286
326;103968.41082090286
327;103970.41082090286
328;103972.41082090286
329;103974.41082090286
330;103976.41082090286
331;103978.41082090286
332;103980.41082090286
333;103982.41082090286
334;103984.41082090286
335;103986.41082090286
336;103988.41082090286
337;103990.41082090286
338;103992.41082090286
339;103994.41082090286
340;103996.41082090286
341;103998.41082090286
342;104000.41082090286
343;104002.41082090286
344;104004.41082090286
345;104006.41082090286
346;104008.41082090286
347;104010.41082090286
348;104012.41082090286
349;104014.41082090286
350;104016.41082090286
351;104018.41082090286
352;104020.41082090286
353;104022.41082090286
354;104024.41082090286
355;104026.41082090286
356;104028.41082090286
357;104030.41082090286
358;104032.41082090286
359;104034.41082090286
360;104036.41082090286
361;104038.41082090286
362;104040.41082090286
363;104042.41082090286
364;104044.41082090286
365;104046.41082090286
366;104048.41082090286
367;104050.41082090286
368;104052.41082090286
369;104054.41082090286
370;104056.41082090286
371;104058.41082090286
372;104060.41082090286
373;104062.41082090286
374;104064.41082090286
375;104066.41082090286
376;104068.41082090286
377;104070.41082090286
378;104072.41082090286
379;104074.41082090286
380;104076.41082090286
381;104078.41082090286
382;104080.41082090286
383;104082.41082090286
384;104084.41082090286
385;104086.41082090286
386;104088.41082090286
387;104090.41082090286
388;104092.41082090286
389;104094.41082090286
390;104096.41082090286
391;104098.41082090286
392;104100.41082090286
393;104102.41082090286
394;104104.41082090286
395;104106.41082090286
396;104108.41082090286
397;104110.41082090286
398;103701.68222529051
399;103703.68222529051
400;103705.68222529051
401;103707.68222529051
402;103709.68222529051
403;103711.68222529051
404;103713.68222529051
405;103715.68222529051
406;103717.68222529051
407;103719.68222529051
408;103721.68222529051
409;103723.68222529051
410;103725.68222529051
411;103727.68222529051
412;103729.68222529051
413;103731.68222529051
414;103733.68222529051
415;103735.68222529051
416;103737.68222529051
417;103739.68222529051
418;103741.68222529051
419;103743.68222529051
420;103745.68222529051
421;103747.68222529051
422;103749.68222529051
423;103751.68222529051
424;103753.68222529051
425;103755.68222529051
426;103757.68222529051
427;103759.68222529051
428;103761.68222529051
429;103763.68222529051
430;103765.68222529051
431;103767.68222529051
432;103769.68222529051
433;103771.68222529051
434;103773.68222529051
435;103775.68222529051
436;103777.68222529051
437;103779.68222529051
438;103781.68222529051
439;103783.68222529051
440;103785.68222529051
441;103787.68222529051
442;103789.68222529051
443;103791.68222529051
444;103793.68222529051
445;103795.68222529051
446;103797.68222529051
447;103799.68222529051
448;103801.68222529051
449;103803.68222529051
450;103805.68222529051
451;103807.68222529051
452;103809.68222529051
453;103811.68222529051
454;103813.68222529051
455;103815.68222529051
456;103817.68222529051
457;103819.68222529051
458;103821.68222529051
459;103823.68222529051
460;103825.68222529051
461;103827.68222529051
462;103829.68222529051
463;103831.68222529051
464;103833.68222529051
465;103835.68222529051
466;103837.68222529051
467;103839.68222529051
468;103841.68222529051
469;103843.68222529051
470;103845.68222529051
471;103847.68222529051
472;103849.68222529051
473;103851.68222529051
474;103853.68222529051
475;103855.68222529051
476;103857.68222529051
477;103859.68222529051
478;103861.68222529051
479;103863.68222529051
480;103865.68222529051
481;103867.68222529051
482;103869.68222529051
483;103871.68222529051
484;103873.68222529051
485;103875.68222529051
486;103877.68222529051
487;103879.68222529051
488;103881.68222529051
489;103883.68222529051
490;103885.68222529051
491;103887.68222529051
492;103889.68222529051
493;103891.68222529051
494;103893.68222529051
495;103895.68222529051
496;103897.68222529051
497;103899.68222529051
498;103901.68222529051
499;103903.68222529051
500;103905.68222529051
501;103907.68222529051
502;103909.68222529051
503;103911.68222529051
504;103913.68222529051
505;103915.68222529051
506;103917.68222529051
507;103919.68222529051
508;103921.68222529051
509;103923.68222529051
510;103925.68222529051
511;103927.68222529051
512;103929.68222529051
513;103931.68222529051
514;103933.68222529051
515;103935.68222529051
516;103937.68222529051
517;103939.68222529051
518;103941.68222529051
519;103943.68222529051
520;103945.68222529051
521;103947.68222529051
522;103949.68222529051
523;103951.68222529051
524;103953.68222529051
525;103955.68222529051
526;103957.68222529051
527;103959.68222529051
528;103961.68222529051
529;103963.68222529051
530;103965.68222529051
531;103967.68222529051
532;103969.68222529051
533;103971.68222529051
534;103973.68222529051
535;103975.68222529051
536;103977.68222529051
537;103979.68222529051
538;103981.68222529051
539;103983.68222529051
540;103985.68222529051
541;103987.68222529051
542;103989.68222529051
543;103991.68222529051
544;103993.68222529051
545;103995.68222529051
546;103997.68222529051
547;103999.68222529051
548;104001.68222529051
549;104003.68222529051
550;104005.68222529051
551;104007.68222529051
552;104009.68222529051
553;104011.68222529051
554;104013.68222529051
555;104015.68222529051
556;104017.68222529051
557;104019.68222529051
558;104021.68222529051
559;104023.68222529051
560;104025.68222529051
561;104027.68222529051
562;104029.68222529051
563;104031.68222529051
564;104033.68222529051
565;104035.68222529051
566;104037.68222529051
567;104039.68222529051
568;104041.68222529051
569;104043.68222529051
570;104045.68222529051
571;104047.68222529051
572;104049.68222529051
573;104051.68222529051
574;104053.68222529051
575;104055.68222529051
576;104057.68222529051
577;104059.68222529051
578;104061.68222529051
579;104063.68222529051
580;104065.68222529051
581;104067.68222529051
582;104069.68222529051
583;104071.68222529051
584;104073.68222529051
585;104075.68222529051
586;104077.68222529051
587;104079.68222529051
588;104081.68222529051
589;104083.68222529051
590;104085.68222529051
591;104087.68222529051
592;104089.68222529051
593;104091.68222529051
594;104093.68222529051
595;104095.68222529051
596;104097.68222529051
597;103688.95362967814
598;103690.95362967814
599;103692.95362967814
600;103694.95362967814
601;103696.95362967814
602;103698.95362967814
603;103700.95362967814
604;103702.95362967814
605;103704.95362967814
606;103706.95362967814
607;103708.95362967814
608;103710.95362967814
609;103712.95362967814
610;103714.95362967814
611;103716.95362967814
612;103718.95362967814
613;103720.95362967814
614;103722.95362967814
615;103724.95362967814
616;103726.95362967814
617;103728.95362967814
618;103730.95362967814
619;103732.95362967814
620;103734.95362967814
621;103736.95362967814
622;103738.95362967814
623;103740.95362967814
624;103742.95362967814
625;103744.95362967814
626;103746.95362967814
627;103748.95362967814
628;103750.95362967814
629;103752.95362967814
630;103754.95362967814
631;103756.95362967814
632;103758.95362967814
633;103760.95362967814
634;103762.95362967814
635;103764.95362967814
636;103766.95362967814
637;103768.95362967814
638;103770.95362967814
639;103772.95362967814
640;103774.95362967814
641;103776.95362967814
642;103778.95362967814
643;103780.95362967814
644;103782.95362967814
645;103784.95362967814
646;103786.95362967814
647;103788.95362967814
648;103790.95362967814
649;103792.95362967814
650;103794.95362967814
651;103796.95362967814
652;103798.95362967814
653;103800.95362967814
654;103802.95362967814
655;103804.95362967814
656;103806.95362967814
657;103808.95362967814
658;103810.95362967814
659;103812.95362967814
660;103814.95362967814
661;103816.95362967814
662;103818.95362967814
663;103820.95362967814
664;103822.95362967814
665;103824.95362967814
666;103826.95362967814
667;103828.95362967814
668;103830.95362967814
669;103832.95362967814
670;103834.95362967814
671;103836.95362967814
672;103838.95362967814
673;103840.95362967814
674;103842.95362967814
675;103844.95362967814
676;103846.95362967814
677;103848.95362967814
678;103850.95362967814
679;103852.95362967814
680;103854.95362967814
681;103856.95362967814
682;103858.95362967814
683;103860.95362967814
684;103862.95362967814
